eV,A,I0,vis
10000,1865766.6124962745,5333292.5322515005,0.34983391614347153
11000,2430708.9679792,11251303.746847186,0.2160379830346619
12000,615343.881812534,2922751.099027826,0.21053584823463464
13000,1665750.1622528539,6384025.423124177,0.260924738209717
14000,842681.4690898989,5365749.907384385,0.15704821947258374
15000,215501.00097154855,6664791.294286424,0.03233424595850326
16000,1326662.6711096177,11162948.013878122,0.11884518941235502
17000,4232547.270291768,17137173.519925065,0.24698047582763086
18000,8410802.560049705,24681985.10828542,0.3407668598433077
19000,10575002.573280644,33774574.55251253,0.3131054265935663
20000,8395968.49877658,44170463.725836426,0.1900810584849161
21000,4139232.2942615403,55462571.59282262,0.07463109220123497
22000,820834.479293855,67960703.22045001,0.012078075128670214
23000,542180.2041333092,81893468.17439188,0.006620554926050246
24000,2873418.687944261,95457129.81757352,0.030101666511821612
25000,9382940.57791229,110618421.30486295,0.08482258621331275
26000,21556582.68996993,126331521.58808404,0.17063502773486114
27000,37444665.40811035,142515507.54853633,0.26274098904891363
28000,56216450.36873604,160911964.03465664,0.3493615325994551
29000,71140298.68877965,178082868.8196493,0.3994786200396732
30000,83076823.19276242,198254111.0547104,0.4190421209971099
31000,87892914.24920605,216484488.93548965,0.40600097809038554
32000,86154190.78501512,236715556.27797467,0.363956607413855
33000,79668719.00426246,255259345.714239,0.31210892114975103
34000,69012511.30298516,276531616.5896964,0.249564632623482
35000,56898623.643168904,295746998.9435268,0.19238952160604597
36000,44426247.97523296,317011328.0980072,0.14014088468629785
37000,32150909.930093758,337931601.5556402,0.0951402880999874
38000,22368998.591262244,358234528.4951889,0.062442329848063936
39000,13613030.800542565,380494024.9555328,0.0357772524867729
40000,7935230.018762237,401046281.20967865,0.019786319910079078
41000,3753790.0135817095,422011246.8853665,0.008894999934922054
42000,1111670.7914312151,444943511.62653565,0.0024984537640910663
43000,364296.4441040882,464889822.9247447,0.0007836188837436857
44000,768427.6569090725,486517940.1756868,0.0015794436205817718
45000,925763.0126577205,509055464.5185556,0.0018185896767325155
46000,937819.8931797297,529083087.1395766,0.0017725380303686116
47000,789904.6867716273,550801179.4747305,0.0014341012986299648
48000,505270.0450398818,573686604.0112872,0.0008807422754984543
49000,1090625.0350505002,593714777.5558769,0.0018369511359313557
50000,2619727.102847896,615348164.0036126,0.00425730871739875
51000,4956406.176733402,638372668.6333613,0.007764126536532582
52000,7519756.736354717,658846882.495045,0.011413511904127848
53000,10576001.494888404,680138371.5461555,0.0155497791880879
54000,14232926.22272251,702888073.3827341,0.02024920718063237
55000,18152387.256677594,726237032.7848332,0.02499512753717658
56000,21918963.351705547,746262734.2446165,0.02937164398794803
57000,25554436.101044405,767287076.7632003,0.03330492181472125
58000,30107568.71344487,792096406.4548149,0.03800998018435317
59000,33971764.33779176,813632690.3520694,0.041753194949789615
60000,37529455.71786325,835810465.0736492,0.04490187343437518
61000,41242631.796140805,857103656.412076,0.048118604427364944
62000,44729372.84305346,880555309.6718194,0.05079677829632755
63000,47348915.92171713,904275048.2423893,0.05236118812937249
64000,49723132.24653792,924182679.5684052,0.053802276698973306
65000,52354910.07104505,947900004.0069797,0.05523252436937382
66000,54259235.722453,973809644.4065257,0.05571852367052753
67000,56330825.7332741,999064211.1519104,0.056383588866951065
68000,57587056.81147348,1021842693.4837143,0.056356088054165136
69000,58628030.279582374,1043927183.7371901,0.05616103421092831
70000,59408404.84351805,1070671461.406012,0.05548705367144332
71000,59398227.94862614,1090220240.2016618,0.05448277857842654
72000,59642459.299586914,1117430025.9726262,0.053374670371572765
73000,59595319.84487778,1141255712.3120413,0.052219076936005096
74000,59404202.694079824,1162289801.682158,0.051109630840867185
75000,58728641.61036289,1187006183.6450891,0.049476272676202464
76000,57754620.6102211,1207831071.7225752,0.04781680316259215
77000,56843242.40641611,1230371524.0878096,0.04620006339025065
78000,55891212.72263645,1253221622.0007775,0.04459802778809842
79000,55024419.49356526,1281453887.228684,0.042939055429113374
80000,53509708.61227462,1297439764.4200747,0.04124253786548018
81000,136419901.95310304,672499880.6475521,0.20285490879454715
82000,145579191.35793662,601004543.4774878,0.2422264406115753
83000,146191573.32064933,610388349.8720539,0.23950583812959925
84000,147366989.67282677,623592228.9265836,0.23631947743559273
85000,146430259.9260825,632223474.5713966,0.23161155163583888
86000,146559602.53511274,644892660.8306795,0.22726201031088
87000,146147676.6404318,659391110.435212,0.2216403502072863
88000,145099889.94983596,670105392.4092062,0.21653293883841684
89000,143778845.89149332,678736015.3551476,0.21183323507042906
90000,142826084.492972,692430808.5965261,0.20626766273219885
91000,141555249.00836328,703031670.84405,0.20134974693019733
92000,139735790.5987144,715354430.3162801,0.19533784188200656
93000,138123662.94537997,730498428.0969181,0.18908139652704983
94000,135229232.06174648,739831735.9059434,0.1827837675767649
95000,133784622.20623715,752167582.094106,0.1778654456680625
96000,130991575.60092004,759819024.7263522,0.17239838874539432
97000,129827218.95045021,773891253.8688178,0.16775899495106222
98000,127915699.64013307,788611741.1010256,0.16220364594311354
99000,125125829.44179969,801354966.8889292,0.15614282635268495
100000,121940763.5199952,812559208.0547352,0.15007000389783423
101000,119288929.79376343,822304359.2422223,0.1450666391987654
